[02:17:41] [INFO] received Windows console close event; shutting log-core down
[02:19:57] [INFO] received Windows console close event; shutting log-core down
[02:30:17] [INFO] received Windows console close event; shutting log-core down
[02:34:35] [INFO] received Windows console close event; shutting log-core down
[03:19:06] [INFO] received Windows console close event; shutting log-core down
[16:23:44] [INFO] received Windows console close event; shutting log-core down
[16:26:11] [INFO] received Windows console close event; shutting log-core down
[17:04:13] [INFO] received Windows console close event; shutting log-core down
[17:15:24] [INFO] received Windows console close event; shutting log-core down
[17:27:48] [INFO] received Windows console close event; shutting log-core down
[17:39:09] [INFO] received Windows console close event; shutting log-core down
[17:43:50] [INFO] received Windows console close event; shutting log-core down
[17:46:02] [INFO] received Windows console close event; shutting log-core down
[17:50:01] [INFO] received Windows console close event; shutting log-core down
[17:51:04] [INFO] received Windows console close event; shutting log-core down
[18:16:19] [INFO] received Windows console close event; shutting log-core down
[18:23:31] [INFO] received Windows console close event; shutting log-core down
[18:46:26] [INFO] received Windows console close event; shutting log-core down
[18:47:43] [INFO] received Windows console close event; shutting log-core down
[18:54:42] [INFO] received Windows console close event; shutting log-core down
[01:25:43] [INFO] received Windows console close event; shutting log-core down
[01:39:41] [INFO] received Windows console close event; shutting log-core down
[01:42:14] [INFO] received Windows console close event; shutting log-core down
[01:44:37] [INFO] received Windows console close event; shutting log-core down
[01:46:26] [INFO] received Windows console close event; shutting log-core down
[01:47:57] [INFO] received Windows console close event; shutting log-core down
[01:48:56] [INFO] received Windows console close event; shutting log-core down
[01:50:06] [INFO] received Windows console close event; shutting log-core down
[01:51:55] [INFO] received Windows console close event; shutting log-core down
[01:53:37] [INFO] received Windows console close event; shutting log-core down
[01:55:31] [INFO] received Windows console close event; shutting log-core down
[01:57:05] [INFO] received Windows console close event; shutting log-core down
[01:58:21] [INFO] received Windows console close event; shutting log-core down
[01:59:10] [INFO] received Windows console close event; shutting log-core down
[02:00:59] [INFO] received Windows console close event; shutting log-core down
[02:01:59] [INFO] received Windows console close event; shutting log-core down
[02:03:01] [INFO] received Windows console close event; shutting log-core down
[02:04:09] [INFO] received Windows console close event; shutting log-core down
[02:06:21] [INFO] received Windows console close event; shutting log-core down
[02:06:40] [INFO] received Windows console close event; shutting log-core down
[02:07:47] [INFO] received Windows console close event; shutting log-core down
[02:09:18] [INFO] received Windows console close event; shutting log-core down
[02:10:37] [INFO] received Windows console close event; shutting log-core down
[02:12:11] [INFO] received Windows console close event; shutting log-core down
[02:13:09] [INFO] received Windows console close event; shutting log-core down
[02:14:23] [INFO] received Windows console close event; shutting log-core down
[02:30:28] [INFO] received Windows console close event; shutting log-core down
[21:24:01] [INFO] received Windows console close event; shutting log-core down
[21:25:02] [INFO] received Windows console close event; shutting log-core down
[21:25:45] [INFO] received Windows console close event; shutting log-core down
[21:26:45] [INFO] received Windows console close event; shutting log-core down
[21:28:06] [INFO] received Windows console close event; shutting log-core down
[21:29:01] [INFO] received Windows console close event; shutting log-core down
[21:31:16] [INFO] received Windows console close event; shutting log-core down
[21:33:11] [INFO] received Windows console close event; shutting log-core down
[21:34:49] [INFO] received Windows console close event; shutting log-core down
[21:39:33] [INFO] received Windows console close event; shutting log-core down
[21:40:47] [INFO] received Windows console close event; shutting log-core down
[21:41:45] [INFO] received Windows console close event; shutting log-core down
